date,region,channel,orders,revenue,cogs,returns
2025-12-01,South,Online,120,240000,156000,5
2025-12-01,South,Offline,80,160000,112000,3
2025-12-01,West,Online,140,280000,175000,6
2025-12-02,South,Online,110,220000,145000,4
2025-12-02,West,Offline,70,140000,98000,2
2025-12-03,North,Online,90,180000,117000,3
2025-12-03,North,Offline,60,120000,84000,2
2025-12-04,East,Online,75,150000,97500,2
2025-12-04,East,Offline,55,110000,77000,1
2025-12-05,West,Online,160,320000,198000,7
2025-12-06,South,Offline,85,170000,119000,3
2025-12-07,North,Online,95,190000,123500,4
